"Country","WHO_region","months","est","lwr","uppr"
"Afghanistan","EMRO",1,24438.816,18829.2,30980.025
"Afghanistan","EMRO",2,22988.959,17772.025,29426.85
"Afghanistan","EMRO",3,21553.589,16350.425,27955.75
"Afghanistan","EMRO",4,19997.734,15368.425,25577.45
"Afghanistan","EMRO",5,20584.079,15876.9,26672.6
"Afghanistan","EMRO",6,22237.99,17171.75,28650.25
"Afghanistan","EMRO",7,22810.302,17115.925,29137.375
"Afghanistan","EMRO",8,20871.948,16147.025,26331.45
"Afghanistan","EMRO",9,21721.283,16190.425,27806.375
"Afghanistan","EMRO",10,23935.053,18721.375,30302.25
"Afghanistan","EMRO",11,26846.851,20817.55,34289.525
"Afghanistan","EMRO",12,26931.795,20868.55,34345.775
"Afghanistan","EMRO",13,24824.035,19200.775,31859.625
"Afghanistan","EMRO",14,22217.433,17185.575,28150.7
"Afghanistan","EMRO",15,21943.417,16831.925,28242.825
"Afghanistan","EMRO",16,22756.031,17669.55,29333.125
"Afghanistan","EMRO",17,22934.775,17581.9,29042.85
"Afghanistan","EMRO",18,25401.259,19606.45,32699.425
"Afghanistan","EMRO",19,25064.717,19370.65,31782.8
"Afghanistan","EMRO",20,22762.226,17400.7,29119.175
"Afghanistan","EMRO",21,21820.088,16819.1,27921.525
"Afghanistan","EMRO",22,22735.572,17396.025,28957.725
"Afghanistan","EMRO",23,24052.875,18560.45,31223.9
"Afghanistan","EMRO",24,24627.529,19147.775,31193.825
"Angola","AFRO",1,20124.921,15460.45,25764.85
"Angola","AFRO",2,19985.008,15632.825,25546.475
"Angola","AFRO",3,19921.119,15476.5,25253.3
"Angola","AFRO",4,17739.018,13684.55,22948.25
"Angola","AFRO",5,18217.569,14085.675,23618.275
"Angola","AFRO",6,18749.018,14505.7,24390.025
"Angola","AFRO",7,19628.92,14845.6,25419.25
"Angola","AFRO",8,20088.797,15496.325,25920.625
"Angola","AFRO",9,20129.829,15698.75,25255.5
"Angola","AFRO",10,19817.385,15202.75,24942.075
"Angola","AFRO",11,19933.707,15457.65,25051.475
"Angola","AFRO",12,20217.795,15752.25,25699.9
"Angola","AFRO",13,20413.578,15846.4,25565.425
"Angola","AFRO",14,20768.227,16101.175,26762.725
"Angola","AFRO",15,20372.353,15320.15,25890
"Angola","AFRO",16,20159.467,15330.025,25649.175
"Angola","AFRO",17,21072.277,16208.15,26723.175
"Angola","AFRO",18,20840.095,16195.925,26526.05
"Angola","AFRO",19,21120.105,16098.95,27428.35
"Angola","AFRO",20,21375.397,16473.125,27429.15
"Angola","AFRO",21,21158.484,16437.325,27660.625
"Angola","AFRO",22,20331.496,15452.3,25912.075
"Angola","AFRO",23,19584.102,14983.825,24927.625
"Angola","AFRO",24,19791.696,15489.975,24856.15
"Albania","EURO",1,3106,3106,3106
"Albania","EURO",2,2866,2866,2866
"Albania","EURO",3,2830,2830,2830
"Albania","EURO",4,2562,2562,2562
"Albania","EURO",5,2561,2561,2561
"Albania","EURO",6,2526,2526,2526
"Albania","EURO",7,3076,3076,3076
"Albania","EURO",8,3516,3516,3516
"Albania","EURO",9,2815,2815,2815
"Albania","EURO",10,3413,3413,3413
"Albania","EURO",11,5473,5473,5473
"Albania","EURO",12,4459,4459,4459
"Albania","EURO",13,4263,4263,4263
"Albania","EURO",14,5358,5358,5358
"Albania","EURO",15,4895,4895,4895
"Albania","EURO",16,3435,3435,3435
"Albania","EURO",17,2661,2661,2661
"Albania","EURO",18,2588,2588,2588
"Albania","EURO",19,2585,2585,2585
"Albania","EURO",20,2954,2954,2954
"Albania","EURO",21,3559,3559,3559
"Albania","EURO",22,3634,3634,3634
"Albania","EURO",23,3559,3559,3559
"Albania","EURO",24,3937,3937,3937
"Andorra","EURO",1,70,70,70
"Andorra","EURO",2,76,76,76
"Andorra","EURO",3,82,82,82
"Andorra","EURO",4,124,124,124
"Andorra","EURO",5,74,74,74
"Andorra","EURO",6,54,54,54
"Andorra","EURO",7,60,60,60
"Andorra","EURO",8,39,39,39
"Andorra","EURO",9,56,56,56
"Andorra","EURO",10,105,105,105
"Andorra","EURO",11,39,39,39
"Andorra","EURO",12,84,84,84
"Andorra","EURO",13,85.38,55,124.05
"Andorra","EURO",14,70.443,43,104.025
"Andorra","EURO",15,66.566,41,101
"Andorra","EURO",16,68.495,42,102
"Andorra","EURO",17,58.569,35.975,86
"Andorra","EURO",18,53.032,31,80
"Andorra","EURO",19,60.643,37,91
"Andorra","EURO",20,63.238,38,93
"Andorra","EURO",21,55.831,34,86
"Andorra","EURO",22,60.042,36,92
"Andorra","EURO",23,69.334,42,106
"Andorra","EURO",24,81.114,51,118.025
"United Arab Emirates","EMRO",1,1960.406,1504.85,2497.05
"United Arab Emirates","EMRO",2,1910.942,1466.9,2459.15
"United Arab Emirates","EMRO",3,1865.955,1417.95,2389.05
"United Arab Emirates","EMRO",4,1894.737,1450.975,2432.05
"United Arab Emirates","EMRO",5,1971.729,1520.95,2530
"United Arab Emirates","EMRO",6,2006.357,1535.95,2591.05
"United Arab Emirates","EMRO",7,2050.184,1557.925,2601.025
"United Arab Emirates","EMRO",8,1934.036,1472.925,2501.125
"United Arab Emirates","EMRO",9,1802.198,1401.975,2340.025
"United Arab Emirates","EMRO",10,1793.937,1342.975,2318.075
"United Arab Emirates","EMRO",11,1823.002,1420.775,2335.05
"United Arab Emirates","EMRO",12,1880.773,1436.975,2408.25
"United Arab Emirates","EMRO",13,2032.888,1573.925,2639.45
"United Arab Emirates","EMRO",14,2088.738,1613.925,2657.125
"United Arab Emirates","EMRO",15,2099.978,1580.95,2717.275
"United Arab Emirates","EMRO",16,2031.561,1552.8,2618
"United Arab Emirates","EMRO",17,2066.304,1556,2659.1
"United Arab Emirates","EMRO",18,2115.81,1567,2773.35
"United Arab Emirates","EMRO",19,2152.052,1625.8,2787
"United Arab Emirates","EMRO",20,2065.391,1553.825,2673.05
"United Arab Emirates","EMRO",21,1965.116,1488.975,2508.15
"United Arab Emirates","EMRO",22,1940.876,1449.85,2523.075
"United Arab Emirates","EMRO",23,1922.081,1442.875,2452.05
"United Arab Emirates","EMRO",24,1973.004,1507.925,2521.025
"Argentina","AMRO",1,26537,26537,26537
"Argentina","AMRO",2,24922,24922,24922
"Argentina","AMRO",3,26577,26577,26577
