"Country","months","WHO_region","est","lwr","uppr"
"Afghanistan","EMRO",1,1295.92455298115,-4376.95141681792,7870.88396189076
"Afghanistan","EMRO",2,536.693720643233,-4630.98948954368,7175.60801355625
"Afghanistan","EMRO",3,-387.52453097357,-5560.94990749744,6117.81724686812
"Afghanistan","EMRO",4,-1208.79788749502,-5820.21806957407,4514.42664072429
"Afghanistan","EMRO",5,126.888078234941,-4540.070176999,6146.17522213594
"Afghanistan","EMRO",6,2416.16476484836,-2543.34569378651,8869.82063734327
"Afghanistan","EMRO",7,3247.87761643979,-2349.02629254406,9429.49984156773
"Afghanistan","EMRO",8,1147.70373132691,-3592.85488008329,6654.59116434389
"Afghanistan","EMRO",9,1212.536834797,-4306.17897922139,7322.9231649517
"Afghanistan","EMRO",10,2548.8367928805,-2633.24134611472,8824.31672086521
"Afghanistan","EMRO",11,4561.20203530771,-1447.38569677774,11913.0192984485
"Afghanistan","EMRO",12,3894.95773503126,-2280.93912057255,11313.8424666107
"Afghanistan","EMRO",13,1644.13233930692,-4009.7206330518,8612.00010128393
"Afghanistan","EMRO",14,-273.027418265724,-5349.45207793136,5798.19360464683
"Afghanistan","EMRO",15,-24.3774783335258,-5311.36382857555,6319.22719767063
"Afghanistan","EMRO",16,1511.25296641472,-3599.12914473463,8099.56547869125
"Afghanistan","EMRO",17,2465.09280447374,-2854.32536280692,8574.56083586054
"Afghanistan","EMRO",18,5523.43485460974,-518.996741723832,12969.9106973552
"Afghanistan","EMRO",19,5459.95463337125,-123.975014101091,12085.4232525174
"Afghanistan","EMRO",20,3001.24170640356,-2281.34300230458,9419.80444734576
"Afghanistan","EMRO",21,1265.71503123351,-3734.34553601462,7441.49273437343
"Afghanistan","EMRO",22,1299.38713463546,-4087.54871675635,7723.92235074805
"Afghanistan","EMRO",23,1725.56039407285,-3745.38749620918,8917.56206779174
"Afghanistan","EMRO",24,1541.97214582545,-4101.98456283629,8295.07838651419
"Albania","AFRO",1,-225.679200524174,-443.270535046115,-26.4237646558085
"Albania","AFRO",2,-298.073659845986,-530.000667982768,-93.3555333643227
"Albania","AFRO",3,-139.467338049415,-354.242396099923,57.4108655114971
"Albania","AFRO",4,-156.928293069489,-356.091448661978,32.5200889297736
"Albania","AFRO",5,-15.2546927525989,-214.750903481465,175.961676636714
"Albania","AFRO",6,-23.3740035051885,-210.831858374953,162.683793978783
"Albania","AFRO",7,415.039481752446,212.380079631808,598.901170729515
"Albania","AFRO",8,934.387996802022,743.85400614534,1114.89784216777
"Albania","AFRO",9,403.694445041841,234.519052752868,576.691451166398
"Albania","AFRO",10,899.278168885233,707.069342027944,1068.86553002148
"Albania","AFRO",11,2650.15545650946,2427.82772348888,2840.5667547761
"Albania","AFRO",12,1124.20572114544,910.818501481666,1335.88554271761
"Albania","AFRO",13,665.169707194477,384.518544093697,917.733947677624
"Albania","AFRO",14,1943.02917520644,1655.26379700891,2220.55895778308
"Albania","AFRO",15,1685.68231427823,1401.40510217905,1953.88804581815
"Albania","AFRO",16,502.298406094358,256.097654077554,731.215350460552
"Albania","AFRO",17,-127.319047858984,-359.626530701613,98.6621557832332
"Albania","AFRO",18,-169.635264445828,-400.809082339916,55.1658092415635
"Albania","AFRO",19,-278.56544493486,-528.747101039224,-44.386882499004
"Albania","AFRO",20,160.602071164411,-72.922126742763,370.419499332332
"Albania","AFRO",21,959.543158823942,735.35622061307,1185.89875572997
"Albania","AFRO",22,930.073140810833,696.888096586173,1153.23092634436
"Albania","AFRO",23,509.792356837452,246.299652808968,777.181889240831
"Albania","AFRO",24,340.022366711956,62.0466403044938,598.555330509731
"Algeria","EURO",1,434.737186648161,-376.01528689853,1293.94829957757
"Algeria","EURO",2,-607.914893306997,-1467.78913006271,251.692285411447
"Algeria","EURO",3,243.986318390652,-589.248936764713,1118.81935480139
"Algeria","EURO",4,14.2815664042515,-820.514154388728,825.766447192642
"Algeria","EURO",5,164.936660093098,-662.823412735157,976.80882168142
"Algeria","EURO",6,3808.20608055849,2998.27165374119,4560.84621520357
"Algeria","EURO",7,19153.7072115991,18263.9347494574,19950.0401972675
"Algeria","EURO",8,9380.74463320261,8548.61394086965,10229.9471218613
"Algeria","EURO",9,2671.52765231476,1901.14422800129,3494.59176985593
"Algeria","EURO",10,4010.47551713079,3192.56164425484,4866.4704357216
"Algeria","EURO",11,11417.5053022774,10520.7380013568,12278.6197632107
"Algeria","EURO",12,5168.6888621516,4302.83782473525,5980.37131270918
"Algeria","EURO",13,336.825773223623,-4821.14392132288,5953.59337029569
"Algeria","EURO",14,20.9477068464335,-4625.50205849524,5958.28060529561
"Algeria","EURO",15,152.404051763037,-4200.04091049161,5820.95384874321
"Algeria","EURO",16,298.701459301365,-4131.30957198244,5414.18535285438
