"Country","WHO_region","months","est","lwr","uppr"
"Afghanistan","EMRO",1,23142.8914470189,22762.3419104446,23565.2117537547
"Afghanistan","EMRO",2,22452.2652793568,22039.7368361195,22820.8392375597
"Afghanistan","EMRO",3,21941.1135309736,21593.8996620399,22302.8618880039
"Afghanistan","EMRO",4,21206.531887495,20819.5182663742,21577.9573970905
"Afghanistan","EMRO",5,20457.1909217651,20112.6654195818,20800.8304074249
"Afghanistan","EMRO",6,19821.8252351516,19492.2285588438,20139.5372332267
"Afghanistan","EMRO",7,19562.4243835602,19246.2059811903,19896.5153606294
"Afghanistan","EMRO",8,19724.2442686731,19418.5366815627,20038.1943943457
"Afghanistan","EMRO",9,20508.746165203,20160.3164835493,20843.9065487911
"Afghanistan","EMRO",10,21386.2162071195,21048.9004779906,21772.3073966415
"Afghanistan","EMRO",11,22285.6489646923,21914.6771316006,22666.1768955529
"Afghanistan","EMRO",12,23036.8372649687,22645.0201397528,23437.2586396589
"Afghanistan","EMRO",13,23179.9026606931,22644.5031662041,23751.3290268827
"Afghanistan","EMRO",14,22490.4604182657,21908.5315228266,23067.8753715481
"Afghanistan","EMRO",15,21967.7944783335,21455.2033763356,22522.6642229221
"Afghanistan","EMRO",16,21244.7780335853,20694.6340819719,21758.2514253525
"Afghanistan","EMRO",17,20469.6821955263,19989.4589866021,21003.4775614339
"Afghanistan","EMRO",18,19877.8241453903,19374.1809573628,20439.9044793364
"Afghanistan","EMRO",19,19604.7623666288,19075.1809422325,20096.2470317627
"Afghanistan","EMRO",20,19760.9842935964,19279.7462160207,20267.59112738
"Afghanistan","EMRO",21,20554.3729687665,20023.9132707366,21077.8066389488
"Afghanistan","EMRO",22,21436.1848653645,20917.896067787,21939.2544325849
"Afghanistan","EMRO",23,22327.3146059272,21802.9987228123,22888.1513504202
"Afghanistan","EMRO",24,23085.5568541746,22544.1277826658,23648.8609583091
"Angola","AFRO",1,18965.82685743,18795.2946723896,19144.9465698203
"Angola","AFRO",2,18939.8464815411,18779.8943675424,19091.7938501141
"Angola","AFRO",3,18950.7859053118,18788.7796383204,19112.094407209
"Angola","AFRO",4,18996.0887121296,18825.4674273166,19169.3583956714
"Angola","AFRO",5,19194.6435072041,19020.5777354105,19353.0054467315
"Angola","AFRO",6,19489.2684752788,19312.366269109,19661.5375914241
"Angola","AFRO",7,19517.9623604303,19345.5798133751,19693.6108832952
"Angola","AFRO",8,19279.5826151785,19115.3785769129,19448.2541987008
"Angola","AFRO",9,19039.9891954667,18871.1616094418,19213.3745114688
"Angola","AFRO",10,18900.3427767507,18724.3637163817,19071.194528122
"Angola","AFRO",11,18963.770160167,18787.6296786258,19130.1837500634
"Angola","AFRO",12,18975.6053396724,18804.4131506884,19153.092411444
"Angola","AFRO",13,19006.5271822552,18744.2373743743,19266.8809452871
"Angola","AFRO",14,18969.1115243764,18711.8648738942,19214.9870105039
"Angola","AFRO",15,18982.2730381178,18741.0149568117,19239.0298112686
"Angola","AFRO",16,19037.8482962396,18786.5271611771,19291.5338252189
"Angola","AFRO",17,19231.1944499824,18960.6411718832,19511.2984516471
"Angola","AFRO",18,19522.0647297165,19257.3385674607,19783.5007595301
"Angola","AFRO",19,19554.3949574033,19305.4553084235,19817.5850467177
"Angola","AFRO",20,19313.5726511465,19060.6192003507,19574.7202019604
"Angola","AFRO",21,19073.94111798,18805.4739093575,19319.5124275086
"Angola","AFRO",22,18936.3769293321,18671.891896089,19204.977200181
"Angola","AFRO",23,19003.5270417005,18741.6096630866,19261.9492964175
"Angola","AFRO",24,19010.8068234471,18750.2742608767,19269.6922047567
"Albania","EURO",1,3331.67920052417,3132.42376465581,3549.27053504612
"Albania","EURO",2,3164.07365984599,2959.35553336432,3396.00066798277
"Albania","EURO",3,2969.46733804942,2772.5891344885,3184.24239609992
"Albania","EURO",4,2718.92829306949,2529.47991107023,2918.09144866198
"Albania","EURO",5,2576.2546927526,2385.03832336329,2775.75090348146
"Albania","EURO",6,2549.37400350519,2363.31620602122,2736.83185837495
"Albania","EURO",7,2660.96051824755,2477.09882927048,2863.61992036819
"Albania","EURO",8,2581.61200319798,2401.10215783223,2772.14599385466
"Albania","EURO",9,2411.30555495816,2238.3085488336,2580.48094724713
"Albania","EURO",10,2513.72183111477,2344.13446997852,2705.93065797206
"Albania","EURO",11,2822.84454349054,2632.4332452239,3045.17227651112
"Albania","EURO",12,3334.79427885456,3123.11445728239,3548.18149851833
"Albania","EURO",13,3597.83029280552,3345.26605232238,3878.4814559063
"Albania","EURO",14,3414.97082479357,3137.44104221692,3702.73620299109
"Albania","EURO",15,3209.31768572177,2941.11195418184,3493.59489782095
"Albania","EURO",16,2932.70159390564,2703.78464953945,3178.90234592245
"Albania","EURO",17,2788.31904785898,2562.33784421677,3020.62653070161
"Albania","EURO",18,2757.63526444583,2532.83419075844,2988.80908233992
"Albania","EURO",19,2863.56544493486,2629.386882499,3113.74710103922
"Albania","EURO",20,2793.39792883559,2583.58050066767,3026.92212674276
"Albania","EURO",21,2599.45684117606,2373.10124427003,2823.64377938693
"Albania","EURO",22,2703.92685918917,2480.76907365564,2937.11190341383
"Albania","EURO",23,3049.20764316255,2781.81811075917,3312.70034719103
"Albania","EURO",24,3596.97763328804,3338.44466949027,3874.95335969551
"Andorra","EURO",1,58.0029934634568,49.5282453754157,67.0576769916501
"Andorra","EURO",2,57.5462987933055,49.2275060617003,66.8196973989807
"Andorra","EURO",3,54.6898048201513,46.2978206623396,63.4103591429774
"Andorra","EURO",4,50.9464996754404,43.0711092936799,58.5774067268427
"Andorra","EURO",5,48.2652136532496,41.2877431950919,56.1023865955149
"Andorra","EURO",6,47.831896293241,40.7656459158606,55.8882847714104
"Andorra","EURO",7,48.130940288192,40.8943033384241,55.6853108524415
"Andorra","EURO",8,49.0658788259484,41.8811270004261,57.4789537329693
"Andorra","EURO",9,50.4712388860219,43.0133736950743,58.6278103191125
"Andorra","EURO",10,52.8036131072992,44.7335243397862,60.9649402971882
"Andorra","EURO",11,55.4547035745764,47.3385002004284,63.7109244944103
"Andorra","EURO",12,58.1899711649377,50.0818140805637,66.5147485364965
"Andorra","EURO",13,59.7237280704102,49.6941210764318,71.1130777943885
"Andorra","EURO",14,59.4289346133621,49.3239160340735,71.126837299769
"Andorra","EURO",15,56.4247698529648,46.4916789372754,68.7693154543208
"Andorra","EURO",16,52.2686093909419,42.6859929290591,63.1593317337979
"Andorra","EURO",17,49.6096858211141,40.7184674433405,59.8944523606695
"Andorra","EURO",18,49.3475201686546,40.263597536306,59.4501243139249
"Andorra","EURO",19,49.4819809656107,40.2466170134791,58.8520090950982
"Andorra","EURO",20,50.618413134138,41.7853989000342,60.0107041851051
"Andorra","EURO",21,52.0420383421987,42.7367157723996,62.3866335799078
"Andorra","EURO",22,53.9858936059057,43.8259052029693,64.7507605537142
"Andorra","EURO",23,57.3046179091084,47.3646163230245,68.1872206810865
"Andorra","EURO",24,59.4529283656595,48.914246664397,71.3999562110576
"United Arab Emirates","EMRO",1,1937.63111565484,1889.89861443465,1988.35894798682
"United Arab Emirates","EMRO",2,1911.37984659109,1864.38923293676,1959.95233133069
"United Arab Emirates","EMRO",3,1892.61203601457,1842.73957196055,1937.61334559451
"United Arab Emirates","EMRO",4,1836.59589899095,1794.26002182155,1878.49645938495
"United Arab Emirates","EMRO",5,1783.89031604537,1739.7949181082,1831.03837663419
"United Arab Emirates","EMRO",6,1753.94728543183,1711.88219346409,1798.63721996638
"United Arab Emirates","EMRO",7,1740.89603035125,1700.8357192017,1783.14791851903
"United Arab Emirates","EMRO",8,1740.40323383818,1695.74454180131,1786.42516573117
"United Arab Emirates","EMRO",9,1771.58010487751,1729.06027737221,1812.76832372416
"United Arab Emirates","EMRO",10,1821.51785633028,1773.4926854063,1864.00506866483
"United Arab Emirates","EMRO",11,1863.83295321275,1816.76383248389,1908.39785989843
"United Arab Emirates","EMRO",12,1911.2458909154,1865.14354989061,1958.93554017046
"United Arab Emirates","EMRO",13,2034.73764075491,1960.9001588571,2106.75546316568
"United Arab Emirates","EMRO",14,2007.60295659155,1935.82105475264,2088.71657100457
"United Arab Emirates","EMRO",15,1985.44928313654,1913.42414329337,2059.94369818438
"United Arab Emirates","EMRO",16,1924.65806220642,1851.00108003245,1999.97434976022
"United Arab Emirates","EMRO",17,1869.28933129262,1793.83774184736,1941.11822893267
"United Arab Emirates","EMRO",18,1840.89498123084,1772.01395268155,1913.85686056423
"United Arab Emirates","EMRO",19,1828.52065651174,1759.06116414434,1898.54283453376
"United Arab Emirates","EMRO",20,1830.18769302347,1764.09413237298,1898.51528393797
"United Arab Emirates","EMRO",21,1855.73224507283,1787.49304335547,1929.1885356605
"United Arab Emirates","EMRO",22,1913.70301386263,1840.70935750273,1984.04460342598
"United Arab Emirates","EMRO",23,1955.26251819874,1887.53443559779,2031.60652575336
"United Arab Emirates","EMRO",24,2006.59021093822,1933.60878497559,2084.37938349623
"Argentina","AMRO",1,26743.7326935599,24837.5147844986,28633.4325913464
"Argentina","AMRO",2,26028.434816773,24153.2563832427,27829.6975881488
"Argentina","AMRO",3,27019.2338699393,25169.2473649579,29005.4598513259
"Argentina","AMRO",4,28156.0469525803,26214.2452647076,30320.6628501064
"Argentina","AMRO",5,31243.8710635256,28932.0167119081,33575.6416519448
"Argentina","AMRO",6,35118.035089237,32533.8050248867,37783.1889021842
"Argentina","AMRO",7,36392.1007630002,33968.28066858,39058.9001005685
"Argentina","AMRO",8,34185.5203257645,31820.6075414155,36703.156020831
"Argentina","AMRO",9,31584.9371397996,29378.4619866086,33753.0834157014
"Argentina","AMRO",10,29543.2313081528,27485.3928684378,31830.7096402867
"Argentina","AMRO",11,27540.6622690163,25630.5018449557,29464.1197386947
"Argentina","AMRO",12,26682.3554937946,24970.3297418224,28642.6502147696
"Argentina","AMRO",13,27775.2765738492,24928.7452731122,31089.3178080112
"Argentina","AMRO",14,27006.5228315616,24159.6201820529,30088.7250625339
"Argentina","AMRO",15,28022.0331822132,24878.2007055407,31230.9675473682
"Argentina","AMRO",16,29194.4136700676,26079.0881773984,32562.9201647514
"Argentina","AMRO",17,32559.8689985517,28897.3507995845,36467.2998133834
"Argentina","AMRO",18,36432.0876921248,32455.717619914,40710.0874406491
"Argentina","AMRO",19,37582.4453982455,33127.5420466478,41949.6174296965
"Argentina","AMRO",20,35414.7403270193,31627.2283821021,39410.7845171523
"Argentina","AMRO",21,32645.6437211004,29309.3636509883,36088.7331196281
"Argentina","AMRO",22,30602.7899624014,27220.8863788595,33942.8451010554
"Argentina","AMRO",23,28619.9746120275,25380.1900210163,32049.608363944
"Argentina","AMRO",24,27822.9984226812,24681.4993530768,30808.0165641643
"Armenia","EURO",1,2399.3641000447,2271.65460835129,2521.13990016154
"Armenia","EURO",2,2312.95891149334,2175.65342145934,2454.68434989167
"Armenia","EURO",3,2253.31360741139,2120.10784184202,2392.03068769242
"Armenia","EURO",4,2134.88387499102,2008.29149221806,2264.96016764645
