"year","month","deaths","scaled_deaths"
2019,1,207842,1157436.133059602
2019,2,181058,1008280.6717578998
2019,3,174202,970100.7941188441
2019,4,149797,834193.5721554315
2019,5,143918,801454.4384564804
2019,6,129712,722343.6826600354
2019,7,126353,703637.9929007606
2019,8,113410,631560.6655550344
2020,1,195515,1088789.3924965612
2020,2,174131,969705.576067405
2020,3,166740,928546.368845749
2020,4,153304,853723.5967945826
2020,5,150576,838531.8342048549
2020,6,141433,787616.040451966
2020,7,133662,744340.6786173714
2020,8,120686,672079.5674134465
