"state","year","completeness_deaths","deaths_registerd","deaths_scaled"
"A & N Islands",2015,0.792,2163,2731.060606060606
"A & N Islands",2016,0.816,2351,2881.1274509803925
"A & N Islands",2017,0.7390000000000001,2137,2891.7456021650873
"A & N Islands",2018,0.7290000000000001,2237,3068.587105624142
"A & N Islands",2019,1,2616,2616
"A & N Islands",2020,1,2951,2951
"Andhra Pradesh",2015,0.8490000000000001,310640,365889.28150765604
"Andhra Pradesh",2016,0.887,313285,353196.16685456596
"Andhra Pradesh",2017,0.9440000000000001,355546,376637.71186440677
"Andhra Pradesh",2018,1,375777,375777
"Andhra Pradesh",2019,1,401472,401472
"Andhra Pradesh",2020,1,455000,455000
"Arunachal Pradesh",2015,0.466,3645,7821.888412017167
"Arunachal Pradesh",2016,0.317,2591,8173.5015772870665
"Arunachal Pradesh",2017,0.36200000000000004,2939,8118.78453038674
"Arunachal Pradesh",2018,0.478,3860,8075.313807531381
"Arunachal Pradesh",2019,0.386,3490,9041.450777202072
"Arunachal Pradesh",2020,0.386,3475,9002.590673575129
"Assam",2015,0.511,116778,228528.37573385518
"Assam",2016,0.598,130414,218083.6120401338
"Assam",2017,0.659,141012,213978.75569044004
"Assam",2018,0.669,142605,213161.43497757846
"Assam",2019,0.74,163057,220347.2972972973
"Assam",2020,0.74,187085,252817.56756756757
"Bihar",2015,0.319,204093,639789.9686520376
"Bihar",2016,0.28300000000000003,177021,625515.9010600706
"Bihar",2017,0.42700000000000005,261425,612236.5339578454
"Bihar",2018,0.34600000000000003,213989,618465.3179190751
"Bihar",2019,0.516,359349,696412.7906976744
"Bihar",2020,0.516,425047,823734.496124031
"Chandigarh",2015,1,16203,16203
"Chandigarh",2016,1,16570,16570
"Chandigarh",2017,1,21236,21236
"Chandigarh",2018,1,23330,23330
"Chandigarh",2019,1,23592,23592
"Chandigarh",2020,1,18370,18370
"Chhattisgarh",2015,0.873,168034,192478.80870561284
"Chhattisgarh",2016,0.9520000000000001,182985,192211.1344537815
"Chhattisgarh",2017,0.888,175035,197111.48648648648
"Chhattisgarh",2018,0.835,177549,212633.53293413174
"Chhattisgarh",2019,0.815,188211,230933.74233128835
"Chhattisgarh",2020,0.815,191938,235506.74846625768
"D & N Haveli",2015,0.9490000000000001,1547,1630.1369863013697
"D & N Haveli",2016,1,1790,1790
"D & N Haveli",2017,1,2080,2080
"D & N Haveli",2018,1,2174,2174
"D & N Haveli",2019,1,2705,2705
"D & N Haveli and Daman & Diu",2020,NA,3414,NA
"Daman & Diu",2015,0.7809999999999999,1179,1509.6030729833549
"Daman & Diu",2016,0.8140000000000001,1250,1535.6265356265355
"Daman & Diu",2017,0.693,1136,1639.2496392496394
"Daman & Diu",2018,0.7140000000000001,1169,1637.254901960784
