state,year,time,deaths,completeness_deaths,deaths_scaled
Andhra Pradesh State,2018,1,33655,1,33655
Andhra Pradesh State,2018,2,28799,1,28799
Andhra Pradesh State,2018,3,27363,1,27363
Andhra Pradesh State,2018,4,26000,1,26000
Andhra Pradesh State,2018,5,24387,1,24387
Andhra Pradesh State,2018,6,27025,1,27025
Andhra Pradesh State,2018,7,26469,1,26469
Andhra Pradesh State,2018,8,27946,1,27946
Andhra Pradesh State,2018,9,26637,1,26637
Andhra Pradesh State,2018,10,28502,1,28502
Andhra Pradesh State,2018,11,26800,1,26800
Andhra Pradesh State,2018,12,29916,1,29916
Andhra Pradesh State,2019,1,32321,1,32321
Andhra Pradesh State,2019,2,31185,1,31185
Andhra Pradesh State,2019,3,27990,1,27990
Andhra Pradesh State,2019,4,26302,1,26302
Andhra Pradesh State,2019,5,29944,1,29944
Andhra Pradesh State,2019,6,30214,1,30214
Andhra Pradesh State,2019,7,28505,1,28505
Andhra Pradesh State,2019,8,28681,1,28681
Andhra Pradesh State,2019,9,30464,1,30464
Andhra Pradesh State,2019,10,33656,1,33656
Andhra Pradesh State,2019,11,33218,1,33218
Andhra Pradesh State,2019,12,31169,1,31169
Andhra Pradesh State,2020,1,32019,1,32019
Andhra Pradesh State,2020,2,26841,1,26841
Andhra Pradesh State,2020,3,25440,1,25440
Andhra Pradesh State,2020,4,22379,1,22379
Andhra Pradesh State,2020,5,28092,1,28092
Andhra Pradesh State,2020,6,28468,1,28468
Andhra Pradesh State,2020,7,34791,1,34791
Andhra Pradesh State,2020,8,55021,1,55021
Andhra Pradesh State,2020,9,55941,1,55941
Andhra Pradesh State,2020,10,42168,1,42168
Andhra Pradesh State,2020,11,38754,1,38754
Andhra Pradesh State,2020,12,39632,1,39632
Andhra Pradesh State,2021,1,38179,1,38179
Andhra Pradesh State,2021,2,32177,1,32177
Andhra Pradesh State,2021,3,33782,1,33782
Andhra Pradesh State,2021,4,39899,1,39899
Andhra Pradesh State,2021,5,137258,1,137258
Andhra Pradesh State,2021,6,67406,1,67406
Andhra Pradesh State,2021,7,39714,1,36907
Andhra Pradesh State,2021,8,35950,1,35950
Andhra Pradesh State,2021,9,38831,1,38831
Andhra Pradesh State,2021,10,35543,1,35543
Andhra Pradesh State,2021,11,35424,1,35424
Andhra Pradesh State,2021,12,37511,1,37511
Assam State,2018,1,12204,0.669,18242.15247
Assam State,2018,2,12193,0.669,18225.71001
Assam State,2018,3,12155,0.669,18168.90882
Assam State,2018,4,11826,0.669,17677.13004
