Economy,Code,Region,Income group,Lending category,Other (EMU or HIPC)
Aruba,ABW,Latin America & Caribbean,High income,,
Afghanistan,AFG,South Asia,Low income,IDA,HIPC
Angola,AGO,Sub-Saharan Africa,Lower middle income,IBRD,
Albania,ALB,Europe & Central Asia,Upper middle income,IBRD,
Andorra,AND,Europe & Central Asia,High income,,
United Arab Emirates,ARE,Middle East & North Africa,High income,,
Argentina,ARG,Latin America & Caribbean,Upper middle income,IBRD,
Armenia,ARM,Europe & Central Asia,Upper middle income,IBRD,
American Samoa,ASM,East Asia & Pacific,Upper middle income,,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,IBRD,
Australia,AUS,East Asia & Pacific,High income,,
Austria,AUT,Europe & Central Asia,High income,,EMU
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,IBRD,
Burundi,BDI,Sub-Saharan Africa,Low income,IDA,HIPC
Belgium,BEL,Europe & Central Asia,High income,,EMU
Benin,BEN,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Burkina Faso,BFA,Sub-Saharan Africa,Low income,IDA,HIPC
Bangladesh,BGD,South Asia,Lower middle income,IDA,
Bulgaria,BGR,Europe & Central Asia,Upper middle income,IBRD,
Bahrain,BHR,Middle East & North Africa,High income,,
"Bahamas, The",BHS,Latin America & Caribbean,High income,,
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,IBRD,
Belarus,BLR,Europe & Central Asia,Upper middle income,IBRD,
Belize,BLZ,Latin America & Caribbean,Lower middle income,IBRD,
Bermuda,BMU,North America,High income,,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,IBRD,HIPC
Brazil,BRA,Latin America & Caribbean,Upper middle income,IBRD,
Barbados,BRB,Latin America & Caribbean,High income,,
Brunei Darussalam,BRN,East Asia & Pacific,High income,,
Bhutan,BTN,South Asia,Lower middle income,IDA,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,IBRD,
Central African Republic,CAF,Sub-Saharan Africa,Low income,IDA,HIPC
Canada,CAN,North America,High income,,
Switzerland,CHE,Europe & Central Asia,High income,,
Channel Islands,CHI,Europe & Central Asia,High income,,
Chile,CHL,Latin America & Caribbean,High income,IBRD,
China,CHN,East Asia & Pacific,Upper middle income,IBRD,
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Blend,HIPC
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,IDA,HIPC
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,Blend,HIPC
Colombia,COL,Latin America & Caribbean,Upper middle income,IBRD,
