Country,iso3,WHO_region,year,month,covid_cases,covid_deaths
Afghanistan,AFG,EMRO,2020,1,0,0
Afghanistan,AFG,EMRO,2020,2,5,0
Afghanistan,AFG,EMRO,2020,3,161,4
Afghanistan,AFG,EMRO,2020,4,1661,56
Afghanistan,AFG,EMRO,2020,5,13353,194
Afghanistan,AFG,EMRO,2020,6,16265,485
Afghanistan,AFG,EMRO,2020,7,5183,536
Afghanistan,AFG,EMRO,2020,8,1620,131
Afghanistan,AFG,EMRO,2020,9,1106,56
Afghanistan,AFG,EMRO,2020,10,1980,71
Afghanistan,AFG,EMRO,2020,11,4881,230
Afghanistan,AFG,EMRO,2020,12,6115,426
Afghanistan,AFG,EMRO,2021,1,2693,211
Afghanistan,AFG,EMRO,2021,2,691,43
Afghanistan,AFG,EMRO,2021,3,740,41
Afghanistan,AFG,EMRO,2021,4,3291,141
Afghanistan,AFG,EMRO,2021,5,12093,319
Afghanistan,AFG,EMRO,2021,6,46821,1927
Afghanistan,AFG,EMRO,2021,7,28495,1837
Afghanistan,AFG,EMRO,2021,8,6066,410
Afghanistan,AFG,EMRO,2021,9,1832,86
Afghanistan,AFG,EMRO,2021,10,1036,68
Afghanistan,AFG,EMRO,2021,11,1172,36
Afghanistan,AFG,EMRO,2021,12,799,48
Albania,ALB,EURO,2020,1,0,0
Albania,ALB,EURO,2020,2,0,0
Albania,ALB,EURO,2020,3,205,12
Albania,ALB,EURO,2020,4,530,18
Albania,ALB,EURO,2020,5,363,2
Albania,ALB,EURO,2020,6,1437,30
Albania,ALB,EURO,2020,7,2662,92
Albania,ALB,EURO,2020,8,4183,126
Albania,ALB,EURO,2020,9,4138,104
Albania,ALB,EURO,2020,10,7116,118
Albania,ALB,EURO,2020,11,16991,296
Albania,ALB,EURO,2020,12,20102,376
Albania,ALB,EURO,2021,1,19524,195
Albania,ALB,EURO,2021,2,28964,406
Albania,ALB,EURO,2021,3,18508,452
Albania,ALB,EURO,2021,4,6254,162
Albania,ALB,EURO,2021,5,1332,61
Albania,ALB,EURO,2021,6,205,6
Albania,ALB,EURO,2021,7,522,1
Albania,ALB,EURO,2021,8,12297,38
Albania,ALB,EURO,2021,9,24129,190
Albania,ALB,EURO,2021,10,15425,231
Albania,ALB,EURO,2021,11,14863,176
Albania,ALB,EURO,2021,12,9766,123
Algeria,DZA,AFRO,2020,1,0,0
Algeria,DZA,AFRO,2020,2,1,0
Algeria,DZA,AFRO,2020,3,583,35
Algeria,DZA,AFRO,2020,4,3264,409
Algeria,DZA,AFRO,2020,5,5419,202
Algeria,DZA,AFRO,2020,6,4304,259
Algeria,DZA,AFRO,2020,7,16260,295
Algeria,DZA,AFRO,2020,8,14315,301
Algeria,DZA,AFRO,2020,9,7222,225
Algeria,DZA,AFRO,2020,10,6283,230
Algeria,DZA,AFRO,2020,11,24570,454
Algeria,DZA,AFRO,2020,12,17090,341
Algeria,DZA,AFRO,2021,1,7811,137
Algeria,DZA,AFRO,2021,2,5838,91
Algeria,DZA,AFRO,2021,3,4101,110
Algeria,DZA,AFRO,2021,4,4805,155
Algeria,DZA,AFRO,2021,5,6859,221
Algeria,DZA,AFRO,2021,6,10504,243
Algeria,DZA,AFRO,2021,7,30960,511
Algeria,DZA,AFRO,2021,8,25385,1021
Algeria,DZA,AFRO,2021,9,7624,565
Algeria,DZA,AFRO,2021,10,3160,113
Algeria,DZA,AFRO,2021,11,3986,146
Algeria,DZA,AFRO,2021,12,7693,207
American Samoa,ASM,WPRO,2020,1,0,0
American Samoa,ASM,WPRO,2020,2,0,0
American Samoa,ASM,WPRO,2020,3,0,0
American Samoa,ASM,WPRO,2020,4,0,0
American Samoa,ASM,WPRO,2020,5,0,0
American Samoa,ASM,WPRO,2020,6,0,0
American Samoa,ASM,WPRO,2020,7,0,0
American Samoa,ASM,WPRO,2020,8,0,0
American Samoa,ASM,WPRO,2020,9,0,0
American Samoa,ASM,WPRO,2020,10,0,0
American Samoa,ASM,WPRO,2020,11,0,0
American Samoa,ASM,WPRO,2020,12,0,0
American Samoa,ASM,WPRO,2021,1,0,0
American Samoa,ASM,WPRO,2021,2,0,0
American Samoa,ASM,WPRO,2021,3,0,0
American Samoa,ASM,WPRO,2021,4,0,0
American Samoa,ASM,WPRO,2021,5,0,0
American Samoa,ASM,WPRO,2021,6,0,0
American Samoa,ASM,WPRO,2021,7,0,0
American Samoa,ASM,WPRO,2021,8,0,0
American Samoa,ASM,WPRO,2021,9,1,0
American Samoa,ASM,WPRO,2021,10,3,0
American Samoa,ASM,WPRO,2021,11,6,0
American Samoa,ASM,WPRO,2021,12,1,0
Andorra,AND,EURO,2020,1,0,0
Andorra,AND,EURO,2020,2,0,0
Andorra,AND,EURO,2020,3,376,12
Andorra,AND,EURO,2020,4,368,30
Andorra,AND,EURO,2020,5,20,9
Andorra,AND,EURO,2020,6,91,1
Andorra,AND,EURO,2020,7,67,0
Andorra,AND,EURO,2020,8,202,1
Andorra,AND,EURO,2020,9,842,0
Andorra,AND,EURO,2020,10,2699,22
Andorra,AND,EURO,2020,11,2047,1
Andorra,AND,EURO,2020,12,1271,8
Andorra,AND,EURO,2021,1,1902,17
Andorra,AND,EURO,2021,2,964,9
Andorra,AND,EURO,2021,3,1095,5
Andorra,AND,EURO,2021,4,1254,10
Andorra,AND,EURO,2021,5,495,2
Andorra,AND,EURO,2021,6,207,0
Andorra,AND,EURO,2021,7,778,1
Andorra,AND,EURO,2021,8,354,2
Andorra,AND,EURO,2021,9,177,0
Andorra,AND,EURO,2021,10,307,0
Andorra,AND,EURO,2021,11,1599,1
Andorra,AND,EURO,2021,12,6007,9
Angola,AGO,AFRO,2020,1,0,0
Angola,AGO,AFRO,2020,2,0,0
Angola,AGO,AFRO,2020,3,4,1
Angola,AGO,AFRO,2020,4,23,1
Angola,AGO,AFRO,2020,5,57,2
Angola,AGO,AFRO,2020,6,192,7
Angola,AGO,AFRO,2020,7,833,40
Angola,AGO,AFRO,2020,8,1515,56
Angola,AGO,AFRO,2020,9,2281,72
Angola,AGO,AFRO,2020,10,5653,100
Angola,AGO,AFRO,2020,11,4545,67
Angola,AGO,AFRO,2020,12,2330,59
Angola,AGO,AFRO,2021,1,2349,59
Angola,AGO,AFRO,2021,2,1000,42
Angola,AGO,AFRO,2021,3,1400,30
Angola,AGO,AFRO,2021,4,4249,58
Angola,AGO,AFRO,2021,5,7935,170
Angola,AGO,AFRO,2021,6,4316,130
Angola,AGO,AFRO,2021,7,3964,114
Angola,AGO,AFRO,2021,8,4685,202
Angola,AGO,AFRO,2021,9,9252,327
Angola,AGO,AFRO,2021,10,7791,171
Angola,AGO,AFRO,2021,11,781,25
Angola,AGO,AFRO,2021,12,11632,24
Anguilla,AIA,AMRO,2020,1,0,0
Anguilla,AIA,AMRO,2020,2,0,0
Anguilla,AIA,AMRO,2020,3,2,0
Anguilla,AIA,AMRO,2020,4,1,0
Anguilla,AIA,AMRO,2020,5,0,0
Anguilla,AIA,AMRO,2020,6,0,0
Anguilla,AIA,AMRO,2020,7,0,0
Anguilla,AIA,AMRO,2020,8,0,0
Anguilla,AIA,AMRO,2020,9,0,0
Anguilla,AIA,AMRO,2020,10,0,0
Anguilla,AIA,AMRO,2020,11,3,0
