iso3,year,month,adj.ac
ALB,2020,1,3105.90341067056
ALB,2020,2,2865.89532818161
ALB,2020,3,2830.39117396727
ALB,2020,4,2561.97976810685
ALB,2020,5,2560.55960193828
ALB,2020,6,2526.47561389251
ALB,2020,7,3076.07992113051
ALB,2020,8,3516.33143338834
ALB,2020,9,2814.76934611296
ALB,2020,10,3412.65930308246
ALB,2020,11,5473.32041368282
ALB,2020,12,4459.32176932124
ALB,2021,1,4263.33883805808
ALB,2021,2,5358.28695402835
ALB,2021,3,4895.31278307335
ALB,2021,4,3435.38196177964
ALB,2021,5,2661.39139990701
ALB,2021,6,2587.54275914118
ALB,2021,7,2584.70242680403
ALB,2021,8,2953.94563063318
ALB,2021,9,3558.93641844555
ALB,2021,10,3634.20522537995
ALB,2021,11,3558.93641844555
ALB,2021,12,3936.70061928614
AND,2020,1,70.000557650323
AND,2020,2,76.1770774429986
AND,2020,3,82.3535972356742
AND,2020,4,123.530395853511
AND,2020,5,74.1182375121067
AND,2020,6,53.5298382031882
AND,2020,7,59.7063579958638
AND,2020,8,39.1179586869452
AND,2020,9,55.5886781340801
AND,2020,10,105.000836475485
AND,2020,11,39.1179586869452
AND,2020,12,84.412437166566
ARG,2020,1,26537
ARG,2020,2,24922
ARG,2020,3,26577
ARG,2020,4,25882
ARG,2020,5,28479
ARG,2020,6,29826
ARG,2020,7,37235
ARG,2020,8,38249
ARG,2020,9,41281
ARG,2020,10,43961
ARG,2020,11,36757
ARG,2020,12,32224
ARM,2020,1,2567
ARM,2020,2,2434
ARM,2020,3,2288
ARM,2020,4,2156
ARM,2020,5,2103
ARM,2020,6,2869
ARM,2020,7,2719
ARM,2020,8,2106
ARM,2020,9,2042
ARM,2020,10,3632
ARM,2020,11,6060
ARM,2020,12,4395
ARM,2021,1,3014
ARM,2021,2,2418
ARM,2021,3,2836
ARM,2021,4,3361
ARM,2021,5,2633
ARM,2021,6,2290
ARM,2021,7,2247
ARM,2021,8,2241
ARM,2021,9,2559
ARM,2021,10,3462
ARM,2021,11,4577
ARM,2021,12,3001
ATG,2020,1,52.6848945711974
ATG,2020,2,49.5238008969256
ATG,2020,3,63.2218734854369
ATG,2020,4,51.6311966797735
ATG,2020,5,54.7922903540453
ATG,2020,6,44.2553114398058
ATG,2020,7,48.4701030055016
ATG,2020,8,46.3627072226537
ATG,2020,9,47.4164051140777
ATG,2020,10,52.6848945711974
ATG,2020,11,51.6311966797735
ATG,2020,12,42.1479156569579
AUS,2020,1,12858.948092044
AUS,2020,2,12409.2786549032
AUS,2020,3,13560.8432794592
AUS,2020,4,13420.4642419762
AUS,2020,5,14058.447022082
AUS,2020,6,13291.4981343698
