iso3,month,year,Stringency,Government,Containment,Economic
AFG,1,2020,0,0,0,0
AFG,2,2020,0,0,0,0
AFG,3,2020,38.89,29.17,33.33,0
AFG,4,2020,84.26,57.81,66.07,0
AFG,5,2020,84.26,62.5,67.86,25
AFG,6,2020,78.7,60.42,69.05,0
AFG,7,2020,78.7,60.42,69.05,0
AFG,8,2020,60.19,50.52,57.74,0
AFG,9,2020,21.3,30.21,34.52,0
AFG,10,2020,16.67,21.88,25,0
AFG,11,2020,12.04,20.83,23.81,0
AFG,12,2020,12.04,20.83,23.81,0
AFG,1,2021,12.04,20.83,23.81,0
AFG,2,2021,12.04,17.71,20.24,0
AFG,3,2021,26.85,26.98,30.83,0
AFG,4,2021,26.85,26.98,30.83,0
AFG,5,2021,26.85,31.67,36.19,0
AFG,6,2021,46.3,34.06,38.93,0
AFG,7,2021,56.02,42.03,48.04,0
AFG,8,2021,22.22,15.83,18.1,0
AFG,9,2021,26.855,20.78,23.75,0
AFG,10,2021,35.19,27.81,31.79,0
AFG,11,2021,27.78,21.56,24.64,0
AFG,12,2021,27.78,21.56,24.64,0
ALB,1,2020,0,0,0,0
ALB,2,2020,5.56,3.12,3.57,0
ALB,3,2020,81.48,58.85,67.26,14.9193548387097
ALB,4,2020,84.26,68.23,69.05,50.8333333333333
ALB,5,2020,89.81,73.44,75,64.9193548387097
ALB,6,2020,71.3,65.62,64.29,75
ALB,7,2020,62.96,64.06,62.5,75
ALB,8,2020,57.41,57.81,58.93,54.8387096774194
ALB,9,2020,54.63,58.33,59.52,50
ALB,10,2020,54.63,59.9,61.31,50
ALB,11,2020,65.74,66.15,68.45,50
ALB,12,2020,65.74,66.15,68.45,50
ALB,1,2021,60.19,64.27,66.31,60.4838709677419
ALB,2,2021,60.19,67.4,66.31,75
ALB,3,2021,60.19,67.4,67.74,62.9032258064516
ALB,4,2021,54.63,62.4,64.17,50
ALB,5,2021,60.19,61.35,62.98,50
ALB,6,2021,37.96,47.81,47.5,50
ALB,7,2021,37.96,47.81,47.5,50
ALB,8,2021,37.96,44.06,43.21,50
ALB,9,2021,41.67,47.71,47.38,50
ALB,10,2021,46.3,50,50,50
ALB,11,2021,45.37,50.52,50.6,50
ALB,12,2021,46.3,52.6,52.98,50
