iso3,year,age,sex,val
AFG,2000,0,Male,66569.37
AFG,2000,0,Female,58600.5
AFG,2000,5,Male,2076.222
AFG,2000,5,Female,2026.444
AFG,2000,10,Male,1071.398
AFG,2000,10,Female,936.5515
AFG,2000,15,Male,3038.289
AFG,2000,15,Female,2148.362
AFG,2000,20,Male,3703.713
AFG,2000,20,Female,2718.058
AFG,2000,25,Male,2944.902
AFG,2000,25,Female,2971.694
AFG,2000,30,Male,2743.046
AFG,2000,30,Female,2970.94
AFG,2000,35,Male,2896.345
AFG,2000,35,Female,3290.414
AFG,2000,40,Male,3560.684
AFG,2000,40,Female,3671.455
AFG,2000,45,Male,4212.656
AFG,2000,45,Female,4134.752
AFG,2000,50,Male,5061.517
AFG,2000,50,Female,5322.988
AFG,2000,55,Male,5624.459
AFG,2000,55,Female,5310.4
AFG,2000,60,Male,5841.086
AFG,2000,60,Female,5479.108
AFG,2000,65,Male,5593.565
AFG,2000,65,Female,5281.948
AFG,2000,70,Male,5443.692
AFG,2000,70,Female,5257.975
AFG,2000,75,Male,4199.022
AFG,2000,75,Female,4543.598
AFG,2000,80,Male,2415.941
AFG,2000,80,Female,2832.014
AFG,2000,85,Male,1297.576
AFG,2000,85,Female,1629.656
AFG,2001,0,Male,66393.36
AFG,2001,0,Female,58454.94
AFG,2001,5,Male,2102.24
AFG,2001,5,Female,2046.755
AFG,2001,10,Male,1093.907
AFG,2001,10,Female,962.7548
AFG,2001,15,Male,3174.043
AFG,2001,15,Female,2245.435
AFG,2001,20,Male,3870.892
AFG,2001,20,Female,2831.93
AFG,2001,25,Male,3127.022
AFG,2001,25,Female,3074.925
AFG,2001,30,Male,2873.896
AFG,2001,30,Female,3067.993
AFG,2001,35,Male,3039.372
AFG,2001,35,Female,3405.937
AFG,2001,40,Male,3715.101
AFG,2001,40,Female,3796.39
AFG,2001,45,Male,4397.68
AFG,2001,45,Female,4248.293
AFG,2001,50,Male,5275.899
AFG,2001,50,Female,5462.631
AFG,2001,55,Male,5837.517
AFG,2001,55,Female,5641.131
AFG,2001,60,Male,6106.424
AFG,2001,60,Female,5679.161
AFG,2001,65,Male,5755.761
AFG,2001,65,Female,5460.461
AFG,2001,70,Male,5485.515
AFG,2001,70,Female,5373.243
AFG,2001,75,Male,4353.981
AFG,2001,75,Female,4681.551
AFG,2001,80,Male,2608.753
AFG,2001,80,Female,3042.814
AFG,2001,85,Male,1474.677
AFG,2001,85,Female,1855.493
AFG,2002,0,Male,65938.26
AFG,2002,0,Female,57958.64
AFG,2002,5,Male,2137.904
AFG,2002,5,Female,2087.031
AFG,2002,10,Male,1118.869
AFG,2002,10,Female,975.0187
AFG,2002,15,Male,2988.728
AFG,2002,15,Female,2226.624
AFG,2002,20,Male,3364.275
AFG,2002,20,Female,2852.387
AFG,2002,25,Male,2920.026
AFG,2002,25,Female,3103.222
AFG,2002,30,Male,2772.317
AFG,2002,30,Female,3089.989
AFG,2002,35,Male,3012.263
