country,hdi,life_expectancy,eyeduc,myeduc,gnipc
Norway,0.957,82.4,18.1,12.9,66494
Ireland,0.955,82.3,18.7,12.7,68371
Switzerland,0.955,83.8,16.3,13.4,69394
"Hong Kong, China (SAR)",0.949,84.9,16.9,12.3,62985
Iceland,0.949,83,19.1,12.8,54682
Germany,0.947,81.3,17,14.2,55314
Sweden,0.945,82.8,19.5,12.5,54508
Australia,0.944,83.4,22,12.7,48085
Netherlands,0.944,82.3,18.5,12.4,57707
Denmark,0.94,80.9,18.9,12.6,58662
Finland,0.938,81.9,19.4,12.8,48511
Singapore,0.938,83.6,16.4,11.6,88155
United Kingdom,0.932,81.3,17.5,13.2,46071
Belgium,0.931,81.6,19.8,12.1,52085
New Zealand,0.931,82.3,18.8,12.8,40799
Canada,0.929,82.4,16.2,13.4,48527
United States,0.926,78.9,16.3,13.4,63826
Austria,0.922,81.5,16.1,12.5,56197
Israel,0.919,83,16.2,13,40187
Japan,0.919,84.6,15.2,12.9,42932
Liechtenstein,0.919,80.7,14.9,12.5,131032
Slovenia,0.917,81.3,17.6,12.7,38080
Korea (Republic of),0.916,83,16.5,12.2,43044
Luxembourg,0.916,82.3,14.3,12.3,72712
Spain,0.904,83.6,17.6,10.3,40975
France,0.901,82.7,15.6,11.5,47173
Czechia,0.9,79.4,16.8,12.7,38109
Malta,0.895,82.5,16.1,11.3,39555
Estonia,0.892,78.8,16,13.1,36019
Italy,0.892,83.5,16.1,10.4,42776
United Arab Emirates,0.89,78,14.3,12.1,67462
Greece,0.888,82.2,17.9,10.6,30155
Cyprus,0.887,81,15.2,12.2,38207
Lithuania,0.882,75.9,16.6,13.1,35799
Poland,0.88,78.7,16.3,12.5,31623
Andorra,0.868,81.9,13.3,10.5,56000
Latvia,0.866,75.3,16.2,13,30282
Portugal,0.864,82.1,16.5,9.3,33967
Slovakia,0.86,77.5,14.5,12.7,32113
Hungary,0.854,76.9,15.2,12,31329
Saudi Arabia,0.854,75.1,16.1,10.2,47495
Bahrain,0.852,77.3,16.3,9.5,42522
Chile,0.851,80.2,16.4,10.6,23261
Croatia,0.851,78.5,15.2,11.4,28070
Qatar,0.848,80.2,12,9.7,92418
Argentina,0.845,76.7,17.7,10.9,21190
Brunei Darussalam,0.838,75.9,14.3,9.1,63965
Montenegro,0.829,76.9,15,11.6,21399
Romania,0.828,76.1,14.3,11.1,29497
Palau,0.826,73.9,15.8,12.5,19317
Kazakhstan,0.825,73.6,15.6,11.9,22857
Russian Federation,0.824,72.6,15,12.2,26157
Belarus,0.823,74.8,15.4,12.3,18546
Turkey,0.82,77.7,16.6,8.1,27701
Uruguay,0.817,77.9,16.8,8.9,20064
Bulgaria,0.816,75.1,14.4,11.4,23325
Panama,0.815,78.5,12.9,10.2,29558
Bahamas,0.814,73.9,12.9,11.4,33747
Barbados,0.814,79.2,15.4,10.6,14936
Oman,0.813,77.9,14.2,9.7,25944
Georgia,0.812,73.8,15.3,13.1,14429
Costa Rica,0.81,80.3,15.7,8.7,18486
Malaysia,0.81,76.2,13.7,10.4,27534
