iso3,month,year,population_density,life_expectancy,positive_rate
AFG,1,2020,,64.8,
AFG,2,2020,54.422,64.8,
AFG,3,2020,54.422,64.8,
AFG,4,2020,54.422,64.8,
AFG,5,2020,54.422,64.8,
AFG,6,2020,54.422,64.8,
AFG,7,2020,54.422,64.8,
AFG,8,2020,54.422,64.8,
AFG,9,2020,54.422,64.8,
AFG,10,2020,54.422,64.8,
AFG,11,2020,54.422,64.8,
AFG,12,2020,54.422,64.8,
AFG,1,2021,54.422,64.8,
AFG,2,2021,54.422,64.8,
AFG,3,2021,54.422,64.8,
AFG,4,2021,54.422,64.8,
AFG,5,2021,54.422,64.8,
AFG,6,2021,54.422,64.8,
AFG,7,2021,54.422,64.8,
AFG,8,2021,54.422,64.8,
AFG,9,2021,54.422,64.8,
AFG,10,2021,54.422,64.8,
AFG,11,2021,54.422,64.8,
AFG,12,2021,54.422,64.8,
ALB,1,2020,,78.6,
ALB,2,2020,104.871,78.6,
ALB,3,2020,104.871,78.6,0.1805
ALB,4,2020,104.871,78.6,0.0822
ALB,5,2020,104.871,78.6,0.0466
ALB,6,2020,104.871,78.6,0.15795
ALB,7,2020,104.871,78.6,0.2033
ALB,8,2020,104.871,78.6,0.2143
ALB,9,2020,104.871,78.6,0.1656
ALB,10,2020,104.871,78.6,0.178
ALB,11,2020,104.871,78.6,0.27325
ALB,12,2020,104.871,78.6,0.3022
ALB,1,2021,104.871,78.6,0.1996
ALB,2,2021,104.871,78.6,0.29
ALB,3,2021,104.871,78.6,0.1943
ALB,4,2021,104.871,78.6,0.08285
ALB,5,2021,104.871,78.6,0.0163
ALB,6,2021,104.871,78.6,0.00335
ALB,7,2021,104.871,78.6,0.0038
ALB,8,2021,104.871,78.6,0.0672
ALB,9,2021,104.871,78.6,0.15565
ALB,10,2021,104.871,78.6,0.1498
ALB,11,2021,104.871,78.6,0.1702
ALB,12,2021,104.871,78.6,0.1421
DZA,1,2020,,76.9,
DZA,2,2020,17.348,76.9,
DZA,3,2020,17.348,76.9,
DZA,4,2020,17.348,76.9,
DZA,5,2020,17.348,76.9,
DZA,6,2020,17.348,76.9,
DZA,7,2020,17.348,76.9,
DZA,8,2020,17.348,76.9,
DZA,9,2020,17.348,76.9,
DZA,10,2020,17.348,76.9,
DZA,11,2020,17.348,76.9,
DZA,12,2020,17.348,76.9,
DZA,1,2021,17.348,76.9,
DZA,2,2021,17.348,76.9,
DZA,3,2021,17.348,76.9,
DZA,4,2021,17.348,76.9,
DZA,5,2021,17.348,76.9,
DZA,6,2021,17.348,76.9,
DZA,7,2021,17.348,76.9,
DZA,8,2021,17.348,76.9,
DZA,9,2021,17.348,76.9,
DZA,10,2021,17.348,76.9,
DZA,11,2021,17.348,76.9,
DZA,12,2021,17.348,76.9,
AND,1,2020,,81.9,
AND,2,2020,,81.9,
AND,3,2020,163.755,81.9,
AND,4,2020,163.755,81.9,
AND,5,2020,163.755,81.9,
AND,6,2020,163.755,81.9,
AND,7,2020,163.755,81.9,
AND,8,2020,163.755,81.9,
AND,9,2020,163.755,81.9,0.0683
AND,10,2020,163.755,81.9,0.0946
AND,11,2020,163.755,81.9,0.08435
AND,12,2020,163.755,81.9,0.0753
AND,1,2021,163.755,81.9,0.1111
AND,2,2021,163.755,81.9,0.07465
AND,3,2021,163.755,81.9,0.0952
AND,4,2021,163.755,81.9,0.0901
AND,5,2021,163.755,81.9,0.052
AND,6,2021,163.755,81.9,0.03805
AND,7,2021,163.755,81.9,0.1123
AND,8,2021,163.755,81.9,0.0671
AND,9,2021,163.755,81.9,0.0344
AND,10,2021,163.755,81.9,0.0405
AND,11,2021,163.755,81.9,0.1116
AND,12,2021,163.755,81.9,0.177
AGO,1,2020,,61.2,
AGO,2,2020,,61.2,
AGO,3,2020,23.89,61.2,
AGO,4,2020,23.89,61.2,
AGO,5,2020,23.89,61.2,
AGO,6,2020,23.89,61.2,
AGO,7,2020,23.89,61.2,
AGO,8,2020,23.89,61.2,
AGO,9,2020,23.89,61.2,
AGO,10,2020,23.89,61.2,
AGO,11,2020,23.89,61.2,
AGO,12,2020,23.89,61.2,
AGO,1,2021,23.89,61.2,
AGO,2,2021,23.89,61.2,
AGO,3,2021,23.89,61.2,
AGO,4,2021,23.89,61.2,
AGO,5,2021,23.89,61.2,
AGO,6,2021,23.89,61.2,
AGO,7,2021,23.89,61.2,
AGO,8,2021,23.89,61.2,
AGO,9,2021,23.89,61.2,
AGO,10,2021,23.89,61.2,
AGO,11,2021,23.89,61.2,
AGO,12,2021,23.89,61.2,
ATG,1,2020,,77,
ATG,2,2020,,77,
ATG,3,2020,231.845,77,
ATG,4,2020,231.845,77,
ATG,5,2020,231.845,77,
ATG,6,2020,231.845,77,
ATG,7,2020,231.845,77,
ATG,8,2020,231.845,77,
ATG,9,2020,231.845,77,
ATG,10,2020,231.845,77,0.0255
ATG,11,2020,231.845,77,0.0134
ATG,12,2020,231.845,77,0.011
ATG,1,2021,231.845,77,0.0319
ATG,2,2021,231.845,77,0.174
ATG,3,2021,231.845,77,0.2407
ATG,4,2021,231.845,77,0.1346
ATG,5,2021,231.845,77,0.0275
ATG,6,2021,231.845,77,0
ATG,7,2021,231.845,77,0.011
ATG,8,2021,231.845,77,
ATG,9,2021,231.845,77,
ATG,10,2021,231.845,77,
ATG,11,2021,231.845,77,
ATG,12,2021,231.845,77,
ARG,1,2020,16.177,76.7,0.118
ARG,2,2020,16.177,76.7,0.18
ARG,3,2020,16.177,76.7,0.188
ARG,4,2020,16.177,76.7,0.092
ARG,5,2020,16.177,76.7,0.106
ARG,6,2020,16.177,76.7,0.224
ARG,7,2020,16.177,76.7,0.313
ARG,8,2020,16.177,76.7,0.352
ARG,9,2020,16.177,76.7,0.399
ARG,10,2020,16.177,76.7,0.388
ARG,11,2020,16.177,76.7,0.2775
ARG,12,2020,16.177,76.7,0.184
ARG,1,2021,16.177,76.7,0.195
ARG,2,2021,16.177,76.7,0.1235
ARG,3,2021,16.177,76.7,0.143
ARG,4,2021,16.177,76.7,0.246
ARG,5,2021,16.177,76.7,0.272
ARG,6,2021,16.177,76.7,0.232
ARG,7,2021,16.177,76.7,0.162
ARG,8,2021,16.177,76.7,0.087
ARG,9,2021,16.177,76.7,0.031
ARG,10,2021,16.177,76.7,0.021
ARG,11,2021,16.177,76.7,0.036
ARG,12,2021,16.177,76.7,0.087
ARM,1,2020,,75.1,
ARM,2,2020,102.931,75.1,0
ARM,3,2020,102.931,75.1,0.09
ARM,4,2020,102.931,75.1,0.087
ARM,5,2020,102.931,75.1,0.134
ARM,6,2020,102.931,75.1,0.304
ARM,7,2020,102.931,75.1,0.26
ARM,8,2020,102.931,75.1,0.134
ARM,9,2020,102.931,75.1,0.0745
ARM,10,2020,102.931,75.1,0.337
ARM,11,2020,102.931,75.1,0.427
ARM,12,2020,102.931,75.1,0.322
ARM,1,2021,102.931,75.1,0.163
ARM,2,2021,102.931,75.1,0.064
ARM,3,2021,102.931,75.1,0.168
ARM,4,2021,102.931,75.1,0.1775
ARM,5,2021,102.931,75.1,0.07
ARM,6,2021,102.931,75.1,0.023
ARM,7,2021,102.931,75.1,0.031
ARM,8,2021,102.931,75.1,0.058
ARM,9,2021,102.931,75.1,0.1115
ARM,10,2021,102.931,75.1,0.122
ARM,11,2021,102.931,75.1,0.1055
ARM,12,2021,102.931,75.1,0.027
AUS,1,2020,3.202,83.4,
AUS,2,2020,3.202,83.4,
AUS,3,2020,3.202,83.4,0.01405
AUS,4,2020,3.202,83.4,0.0077
AUS,5,2020,3.202,83.4,5e-04
AUS,6,2020,3.202,83.4,5e-04
AUS,7,2020,3.202,83.4,0.0049
AUS,8,2020,3.202,83.4,0.0049
AUS,9,2020,3.202,83.4,9e-04
AUS,10,2020,3.202,83.4,5e-04
AUS,11,2020,3.202,83.4,2e-04
AUS,12,2020,3.202,83.4,3e-04
AUS,1,2021,3.202,83.4,2e-04
AUS,2,2021,3.202,83.4,1e-04
AUS,3,2021,3.202,83.4,3e-04
AUS,4,2021,3.202,83.4,4e-04
AUS,5,2021,3.202,83.4,2e-04
AUS,6,2021,3.202,83.4,2e-04
AUS,7,2021,3.202,83.4,9e-04
AUS,8,2021,3.202,83.4,0.0022
AUS,9,2021,3.202,83.4,0.0081
AUS,10,2021,3.202,83.4,0.0121
AUS,11,2021,3.202,83.4,0.00885
AUS,12,2021,3.202,83.4,0.0122
AUT,1,2020,,81.5,
AUT,2,2020,106.749,81.5,
AUT,3,2020,106.749,81.5,
AUT,4,2020,106.749,81.5,
AUT,5,2020,106.749,81.5,
AUT,6,2020,106.749,81.5,
AUT,7,2020,106.749,81.5,
AUT,8,2020,106.749,81.5,
AUT,9,2020,106.749,81.5,
AUT,10,2020,106.749,81.5,
AUT,11,2020,106.749,81.5,
AUT,12,2020,106.749,81.5,
AUT,1,2021,106.749,81.5,
