source,coverage,iso3,year,month,age,age_cat,sex,deaths
STMF,National,AUS,2015,1,0,0-14,Both,43.0104313798537
STMF,National,AUS,2015,2,0,0-14,Both,42.807453844952
STMF,National,AUS,2015,3,0,0-14,Both,54.6608133269638
STMF,National,AUS,2015,4,0,0-14,Both,42.7274116838664
STMF,National,AUS,2015,5,0,0-14,Both,44.1367658994267
STMF,National,AUS,2015,6,0,0-14,Both,59.9517134367687
STMF,National,AUS,2015,7,0,0-14,Both,43.2373838090633
STMF,National,AUS,2015,8,0,0-14,Both,61.1506603277561
STMF,National,AUS,2015,9,0,0-14,Both,47.5677779858422
STMF,National,AUS,2015,10,0,0-14,Both,45.9257270766965
STMF,National,AUS,2015,11,0,0-14,Both,61.2604216475254
STMF,National,AUS,2015,12,0,0-14,Both,52.1176948021597
STMF,National,AUS,2015,999,0,0-14,Both,598.554255220874
STMF,National,AUS,2016,1,0,0-14,Both,40.6323069349161
STMF,National,AUS,2016,2,0,0-14,Both,54.2204557056907
STMF,National,AUS,2016,3,0,0-14,Both,37.9218280339565
STMF,National,AUS,2016,4,0,0-14,Both,43.8100882587551
STMF,National,AUS,2016,5,0,0-14,Both,51.5748338765258
STMF,National,AUS,2016,6,0,0-14,Both,46.2641883476504
STMF,National,AUS,2016,7,0,0-14,Both,42.7651711399525
STMF,National,AUS,2016,8,0,0-14,Both,51.565132941253
STMF,National,AUS,2016,9,0,0-14,Both,49.4971258080115
STMF,National,AUS,2016,10,0,0-14,Both,51.3566345642562
STMF,National,AUS,2016,11,0,0-14,Both,39.4892037121604
STMF,National,AUS,2016,12,0,0-14,Both,37.5672631179392
STMF,National,AUS,2016,999,0,0-14,Both,546.664232441067
STMF,National,AUS,2017,1,0,0-14,Both,56.0267947179813
STMF,National,AUS,2017,2,0,0-14,Both,44.9210371282447
STMF,National,AUS,2017,3,0,0-14,Both,49.9875150219007
STMF,National,AUS,2017,4,0,0-14,Both,41.6555490385997
STMF,National,AUS,2017,5,0,0-14,Both,63.2714855030974
STMF,National,AUS,2017,6,0,0-14,Both,45.7862942038133
STMF,National,AUS,2017,7,0,0-14,Both,57.9565115768377
STMF,National,AUS,2017,8,0,0-14,Both,53.1719362946771
STMF,National,AUS,2017,9,0,0-14,Both,42.1313587758169
STMF,National,AUS,2017,10,0,0-14,Both,54.4478230365866
STMF,National,AUS,2017,11,0,0-14,Both,47.0462941997305
STMF,National,AUS,2017,12,0,0-14,Both,48.8271163798432
STMF,National,AUS,2017,999,0,0-14,Both,605.229715877129
STMF,National,AUS,2018,1,0,0-14,Both,40.5677975957915
STMF,National,AUS,2018,2,0,0-14,Both,43.036334366072
STMF,National,AUS,2018,3,0,0-14,Both,45.1848917595567
STMF,National,AUS,2018,4,0,0-14,Both,50.0263983569837
STMF,National,AUS,2018,5,0,0-14,Both,38.6436526359686
STMF,National,AUS,2018,6,0,0-14,Both,41.1086060064062
