iso3,year,month,observed
AUS,2015,1,13915
AUS,2015,2,11155
AUS,2015,3,12445
AUS,2015,4,12635.1428571429
AUS,2015,5,13491.1428571429
AUS,2015,6,13429.7142857143
AUS,2015,7,14804.8571428571
AUS,2015,8,15230.7142857143
AUS,2015,9,14049.8571428571
AUS,2015,10,13187.5714285714
AUS,2015,11,12198.8571428571
AUS,2015,12,13219.1428571429
AUS,2016,1,11554.4285714286
AUS,2016,2,11411
AUS,2016,3,12352.7142857143
AUS,2016,4,12356.8571428571
AUS,2016,5,13271.8571428571
AUS,2016,6,13619
AUS,2016,7,14658.1428571429
AUS,2016,8,15017.7142857143
AUS,2016,9,13996.4285714286
AUS,2016,10,13959.8571428571
AUS,2016,11,12918.2857142857
AUS,2016,12,12731.7142857143
AUS,2017,1,12661.4285714286
AUS,2017,2,11532.8571428571
AUS,2017,3,12798.4285714286
AUS,2017,4,12806.5714285714
AUS,2017,5,13741
AUS,2017,6,13973.4285714286
AUS,2017,7,15850.4285714286
AUS,2017,8,16497.8571428571
AUS,2017,9,15356
AUS,2017,10,13805.1428571429
AUS,2017,11,12492.4285714286
AUS,2017,12,12407.4285714286
AUS,2018,1,12939.5714285714
AUS,2018,2,11275.5714285714
AUS,2018,3,12794.8571428571
AUS,2018,4,12280.1428571429
AUS,2018,5,13975.8571428571
AUS,2018,6,13907
AUS,2018,7,14840.2857142857
AUS,2018,8,14772
AUS,2018,9,13658.8571428571
AUS,2018,10,13646.4285714286
AUS,2018,11,12726
AUS,2018,12,12254.4285714286
AUS,2019,1,14025.2857142857
AUS,2019,2,11983.2857142857
AUS,2019,3,13142.5714285714
AUS,2019,4,12964.7142857143
AUS,2019,5,14308.5714285714
AUS,2019,6,14631.5714285714
AUS,2019,7,15164.5714285714
AUS,2019,8,15315.4285714286
AUS,2019,9,14226.4285714286
AUS,2019,10,13978
AUS,2019,11,12848.5714285714
AUS,2019,12,11783
AUS,2020,1,14243.2857142857
AUS,2020,2,12511.7142857143
AUS,2020,3,13588.7142857143
AUS,2020,4,13272
AUS,2020,5,14014
AUS,2020,6,13297.4285714286
AUS,2020,7,14445.8571428571
AUS,2020,8,14888
AUS,2020,9,13652.8571428571
AUS,2020,10,13409.1428571429
AUS,2020,11,13053.4285714286
AUS,2020,12,14326.5714285714
AUS,2021,1,12509.2857142857
AUS,2021,2,12012.1428571429
AUS,2021,3,13637.5714285714
AUS,2021,4,13577.5714285714
AUS,2021,5,15019.5714285714
AUS,2021,6,14880.7142857143
AUS,2021,7,15884.1428571429
AUS,2021,8,15284.8571428571
AUS,2021,9,14731.4285714286
AUS,2021,10,14834
AUS,2021,11,13888.2857142857
AUS,2021,12,14700.4285714286
AUT,2015,1,8938
AUT,2015,2,7821
AUT,2015,3,7717.42857142857
AUT,2015,4,6678.42857142857
AUT,2015,5,6233.42857142857
AUT,2015,6,6030
AUT,2015,7,6673.14285714286
AUT,2015,8,6647.42857142857
AUT,2015,9,6161.85714285714
AUT,2015,10,6461.28571428572
AUT,2015,11,6392.14285714286
AUT,2015,12,7214.85714285714
AUT,2016,1,6675.85714285714
AUT,2016,2,6720.85714285714
AUT,2016,3,6912.71428571429
AUT,2016,4,6411.57142857143
AUT,2016,5,6491.85714285714
AUT,2016,6,5916.85714285714
AUT,2016,7,6113.85714285714
AUT,2016,8,6160.42857142857
AUT,2016,9,5990
